WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
res4c_branch2b_2/bias:0                            (256,)           -0.0015        +0.0021      +0.0005   
bn4c_branch2b_2/gamma:0                            (256,)           +0.5034        +1.2173      +0.1483   
bn4c_branch2b_2/beta:0                             (256,)           -1.4417        +0.5756      +0.3369   
bn4c_branch2b_2/moving_mean:0                      (256,)           -2.9200        +1.5946      +0.5483   
bn4c_branch2b_2/moving_variance:0                  (256,)           +0.0281        +1.2198      +0.1510   
res4c_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.1328        +0.1666      +0.0108   
res4c_branch2c_2/bias:0                           (1024,)           -0.0057        +0.0144      +0.0018   
bn4c_branch2c_2/gamma:0                           (1024,)           +0.0043        +2.2694      +0.2649   
bn4c_branch2c_2/beta:0                            (1024,)           -1.1019        +0.7349      +0.1791   
bn4c_branch2c_2/moving_mean:0                     (1024,)           -0.3293        +0.1280      +0.0515   
bn4c_branch2c_2/moving_variance:0                 (1024,)           +0.0001        +0.0869      +0.0065   
res4d_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.1169        +0.1507      +0.0104   
res4d_branch2a_2/bias:0                            (256,)           -0.0010        +0.0006      +0.0003   
bn4d_branch2a_2/gamma:0                            (256,)           +0.5686        +1.4401      +0.1488   
bn4d_branch2a_2/beta:0                             (256,)           -1.3452        +0.4773      +0.3038   
bn4d_branch2a_2/moving_mean:0                      (256,)           -2.9391        +2.3041      +0.8307   
bn4d_branch2a_2/moving_variance:0                  (256,)           +0.2651        +4.1963      +0.5838   
res4d_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.1036        +0.0993      +0.0088   
res4d_branch2b_2/bias:0                            (256,)           -0.0035        +0.0054      +0.0014   
bn4d_branch2b_2/gamma:0                            (256,)           +0.4286        +1.5386      +0.1594   
bn4d_branch2b_2/beta:0                             (256,)           -1.4343        +0.3851      +0.2820   
bn4d_branch2b_2/moving_mean:0                      (256,)           -1.1160        +0.5873      +0.2232   
bn4d_branch2b_2/moving_variance:0                  (256,)           +0.0355        +0.4098      +0.0649   
res4d_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.2382        +0.1296      +0.0120   
res4d_branch2c_2/bias:0                           (1024,)           -0.0070        +0.0199      +0.0023   
bn4d_branch2c_2/gamma:0                           (1024,)           +0.0461        +2.8471      +0.3289   
bn4d_branch2c_2/beta:0                            (1024,)           -1.3527        +0.5924      +0.2292   
bn4d_branch2c_2/moving_mean:0                     (1024,)           -0.2602        +0.0767      +0.0430   
